lines_of_code,cyclomatic_complexity,number_of_functions,number_of_classes,depth_of_inheritance,coupling_between_objects,lack_of_cohesion,number_of_parameters,number_of_variables,number_of_comments,code_duplication,test_coverage,code_churn,developer_experience,module_age_days,has_bug,module_name
492,16,20,4,2,9,1,2,20,61,0.025079620989590046,0.5596036290805488,17,4.284020044765855,377,1,module_000
516,5,18,3,2,7,6,4,15,58,0.27887904502282546,0.934970253014878,18,4.1393010122901055,383,0,module_001
474,5,24,3,2,3,2,2,13,60,0.15603293181513922,0.38280065412717323,25,2.745933733234411,343,0,module_002
506,10,30,5,4,10,1,6,10,57,0.19363722519502566,0.32748255817097593,23,6.353423884587171,397,1,module_003
524,10,21,6,1,5,6,4,14,52,0.0534728244271061,0.7795016886101918,25,8.285847454172782,338,0,module_004
477,8,10,2,2,6,3,4,9,42,0.07933040698662819,0.5695020776735729,19,5.225005257450721,400,0,module_005
487,9,19,6,2,9,1,5,14,45,0.0363003650043607,0.8351330661810741,19,2.039853308239803,356,1,module_006
496,15,19,4,2,4,2,3,17,49,0.07919961655616665,0.34798122806872883,19,8.545306887185045,369,1,module_007
507,11,31,3,3,8,2,5,12,50,0.14771902958753963,0.5686300004747704,21,1.6425739414138003,377,1,module_008
486,13,20,4,2,12,4,5,16,40,0.25008887983718886,0.46472764843227854,25,5.245546358810806,343,1,module_009
497,11,27,2,1,12,3,8,19,56,0.16011702450610904,0.8177245730626181,26,3.3496960254152173,363,1,module_010
479,7,18,6,3,12,3,8,11,46,0.07333907946932883,0.45901907729916,23,9.426863406880761,376,0,module_011
506,11,25,8,2,9,5,5,17,57,0.013386322467218392,0.6205617343420484,16,7.637888781536856,388,1,module_012
507,5,22,5,2,4,1,5,16,52,0.18659095077210133,0.8732142857956984,20,6.097680846711283,368,0,module_013
487,10,19,6,4,9,3,4,20,42,0.12604796920999442,0.9407733748251286,12,7.009798966204205,367,0,module_014
512,6,19,5,0,5,5,3,10,33,0.295306160045121,0.8058240555660443,15,5.794545365312414,352,0,module_015
470,13,19,5,5,6,3,6,18,39,0.23392796562350787,0.6004598880730676,21,2.3284085069746894,374,1,module_016
484,4,18,6,1,7,3,3,21,47,0.24250884578201082,0.7003901123199132,26,7.381888119968845,411,0,module_017
487,16,15,4,1,6,2,5,17,52,0.0036705068641190385,0.7827829630067457,16,5.434065570425423,358,1,module_018
503,12,21,4,2,5,4,1,11,53,0.23333859987121713,0.9124528386018826,25,6.708783441904607,370,0,module_019
545,11,17,5,1,9,4,8,21,46,0.05838399320264784,0.9220017893322041,22,1.40681497579543,354,1,module_020
506,12,20,5,1,10,4,4,11,34,0.17573876168649175,0.951678644041843,16,2.278313133069278,387,1,module_021
464,15,31,4,0,11,0,3,9,57,0.1342264716947156,0.8674977692351675,19,6.304334283387913,353,1,module_022
446,10,20,4,1,8,4,4,13,62,0.17148115517330398,0.40275855515916675,22,5.134860127746545,347,1,module_023
493,8,20,7,1,8,2,4,16,59,0.04003305882689886,0.8233476733703702,17,3.0418630205828863,349,0,module_024
524,11,16,5,1,10,2,3,17,44,0.1370675044233439,0.8702146614942523,20,3.1668482848019934,364,1,module_025
485,6,14,4,1,13,5,4,4,59,0.011083405785498934,0.9145099993734684,22,6.684924813003483,368,0,module_026
472,8,22,3,0,11,3,7,12,39,0.012299804447889239,0.9473718262324782,20,1.5307032423616658,360,0,module_027
519,11,21,9,3,7,2,3,13,53,0.19732143923222095,0.6564118694629131,21,4.908325098012159,350,1,module_028
514,12,23,6,1,9,5,3,18,60,0.285509512041654,0.7585648865870173,17,5.707931542539485,356,1,module_029
519,12,23,6,2,8,2,5,18,48,0.23321787561143492,0.3066869436318783,15,3.7732834246810065,366,1,module_030
491,8,18,4,1,6,1,8,15,58,0.1407467341712931,0.7009484973847038,23,8.384948456431026,381,0,module_031
528,9,12,7,1,11,3,4,12,46,0.016761222027711874,0.6312388667517577,15,1.5109262431195911,349,1,module_032
489,15,14,6,1,7,3,3,21,53,0.013506044837131258,0.9736142312863596,17,8.792045067222558,346,1,module_033
487,8,25,6,1,9,1,5,16,51,0.04736767833241743,0.931196509021909,18,7.509366935989938,343,0,module_034
515,9,18,2,4,6,3,2,11,51,0.29274315118020794,0.8583227506033699,24,5.016289410398771,361,0,module_035
532,12,25,6,5,5,1,4,21,41,0.11959831993234894,0.3398959291641867,17,9.32020651191257,418,0,module_036
469,9,26,4,1,11,4,6,16,49,0.2530221875617935,0.5814201895983333,24,7.320144668452452,395,0,module_037
518,9,15,7,0,6,3,6,9,50,0.21154273168457907,0.7872295555361921,21,9.379408146931395,355,0,module_038
519,15,15,8,3,10,4,4,13,47,0.18162859776481988,0.3207625204949967,26,5.253308014740095,353,1,module_039
501,6,20,6,4,8,3,2,11,59,0.28434783349612247,0.4650696542269608,18,5.076757908958475,355,0,module_040
488,11,15,3,4,13,6,4,10,47,0.06912347118570658,0.9212550330826901,22,5.776683683015609,356,1,module_041
535,8,9,4,4,9,1,7,17,56,0.13646689874074608,0.39084653710959694,14,1.5888403358722236,367,1,module_042
494,9,21,5,3,5,3,6,14,48,0.2594168897023786,0.33596145303705094,20,9.176448262029727,343,0,module_043
481,12,22,3,2,14,5,6,18,55,0.1655283922926731,0.7064100293992684,18,7.009453464776657,381,1,module_044
486,9,30,5,0,11,2,6,9,38,0.07393354188783331,0.9625252307994461,27,6.558271101184317,417,1,module_045
541,12,28,8,3,7,3,3,10,44,0.06267492505268303,0.884237317936047,22,9.338171828235073,356,0,module_046
509,10,17,8,3,14,2,2,15,57,0.2258643003126903,0.9823407533046689,21,9.94273459847548,354,1,module_047
522,9,23,5,2,11,5,3,22,68,0.00383666827562662,0.8274662075873744,14,2.470540515926292,345,0,module_048
533,6,17,5,1,3,0,3,17,42,0.2742576232208649,0.6061588418592001,17,7.740972864145212,395,0,module_049
488,13,21,8,2,16,1,4,17,50,0.005525396434560903,0.9626315077129117,22,6.219506570395475,343,1,module_050
481,8,15,5,1,6,3,9,20,59,0.18929671406421122,0.5986432949173182,17,5.148974697312516,365,0,module_051
523,8,24,4,0,4,3,4,15,54,0.18142438843260217,0.545066231440971,28,9.79851341482431,330,0,module_052
495,11,15,3,4,7,4,6,13,59,0.1735233453164343,0.6137371424372037,18,8.652367100396019,337,0,module_053
469,18,22,7,1,13,4,3,15,68,0.14230291526002667,0.8697817680677251,22,7.270749856841223,344,1,module_054
547,9,20,4,4,7,4,7,13,44,0.2557290998065833,0.9423854848942217,20,4.444085504711255,349,1,module_055
501,10,18,4,2,9,5,2,14,56,0.19779986108714528,0.5503774769717729,19,6.99436723739216,373,1,module_056
491,10,15,5,1,8,3,5,17,44,0.23455868444981803,0.6235732195725837,25,5.785247112034632,385,1,module_057
560,9,19,3,3,11,4,4,12,33,0.03465654179375694,0.9288291263130681,23,3.244316047684289,352,1,module_058
500,7,19,5,2,5,0,6,15,48,0.014969591237232715,0.33293056517006825,27,5.053431908311067,412,0,module_059
485,10,21,4,1,7,4,8,23,47,0.008558552678933596,0.848708085879696,20,2.9099077129154116,372,1,module_060
507,11,28,6,0,6,4,1,19,47,0.044161795642077825,0.6179524307640374,25,5.503782638846661,343,1,module_061
